"","id","Sp_no","LAT","LA2","LA3","LONG","LO2","LO3","LATDEC","LONGDET","ALT","SGRIDS","PRCODE","STATE","VGR","LOCALITY","HABITAT","SUBSTRATE","HOSTgenus","HOSTsp","HOSTcname","DAY","MONTH","YEAR","date.comments","oldID","BATCH","PHOTO","SPECIMEN","Checked","Initial","date.checked","Basis...specimen","Basis...photo","PhotoID","Submitted.as","date.entered","DENTRY","SS","SH","SL","COMMENTS","COLL.NO","DET","HERB.NO","LITauth","LITbibl","AHC","recorded_by","Doubtful.record","Book.or.REF","REF.Number"
"20914",37579,290,37,46,13,145,45,23,-37.77027778,145.7563889,"220","LLG","2","VIC","","Big Pats Creek near Warburton","Manna gums, mountain grey gums, silver wattle, mountain hickory wattle","soil","","","",18,6,2006,"","",24,"N","N","1","","","","","","","19/2/07","GP","S","","","FNCV Fungi Group Foray","","","","","",NA,178,"","",0
"60109",1220624,81,24,31,39,123,57,8,-24.5275,123.9522222,"471","LLG","1","WA","","450km NE of Wiluna; Mungilli; Little Sandy Desert;  Eagle Highway","low open shrubland on crest of red sand dune","soil","","","",4,8,2018,"","",73,"Y","","2","TM","14/11/18","","7","Podaxis pistillaris 10","","12/12/18","GP","S","","","","","","","","",NA,1023,"","",0
"48608",1205582,415,35,5,30,138,39,0,-35.09166667,138.65,"","LLG","3","SA","","Scott Creek Conservation Park, Adelaide Hills","","","","","",8,9,2001,"","8/ix",49,"N","n","No","","","","","","","4/12/15","GP","S","","","","","","","","",NA,49,"","",0
"28435",47533,153,36,11,8,150,4,0,-36.18555556,150.0666667,"","LLG","2","NSW","","Cowdroy Creek Rainforest.","Littoral rainforest.","Rotting log","","","",17,7,2005,"","",38,"N","N","3","TM","3/8/10","","","","47","3/8/10","WC","S","","","Hebeloma aminophilum does not occur on this substrate (usually found with aminal bones, on the ground), therefore this identification is incorrect - Tom May 3/8/10.","","","","","",NA,534,"","",0
"54251",1215226,105,36,3,47,150,7,45,-36.06305556,150.1291667,"","LLG","2","NSW","","Tuross Head, Chatham Park","Littoral rainforest with Eucalypts and Pittosporum undulatum","","","","",19,2,2002,"","",10,"","","","","","","","","","30/12/16","GP","S","","","Chatham Park Fungal Survey with Noreen and Ray Baxter","","","","","",NA,28,"","",0
"40804",64548,1523,26,41,30,152,53,30,-26.69166667,152.8916667,"400","LLU","2","QLD","","Montville","","","","","",9,4,2013,"","",3,"","","1","","","","","","","28/10/14","WC","S","","","Collected by Gretchen Evans","","","","","",NA,1287,"","",NA
"14600",28903,310,35,36,3,138,14,31,-35.60083333,138.2419444,"290","LLG","1","SA","","Stringybark Walking Trail, Deep Creek CP, near Delamere","Eucalyptus obliqua remnant woodland","On wood","Eucalyptus","obliqua","",21,6,2002,"","",34,"","","1","","","","","","","4/11/04","GP","S","","","","","","","","",6,49,"","",NA
"31484",50311,39,38,11,0,146,17,0,-38.18333333,146.2833333,"","DES","2","VIC","","Moe, Ollerton Avenue Bushland Reserve.","","On stump","","","",5,3,2011,"","",21,"N","N","1","","","0","0","","","15/11/11","WC","S","","","","","","","","",NA,20,"","",0
"30518",50854,37,38,31,48,146,36,15,-38.53,146.6041667,"70","AMG","2","VIC","","Devon North, Old Whitelaws Track, Mays Bush.","Eucalypt woodland.","In litter, on soil.","","","",30,5,2011,"","",5,"N","N","1","","","0","0","","","6/12/11","WC","S","","","","","","","","",NA,1457,"","",0
"22048",39764,76,36,10,0,150,3,57,-36.16666667,150.0658333,"","LLG","1","NSW","","Narooma, Scenic Drive.","Dry sclerophyll forest.","Dead tree log.","","","",15,10,2007,"","",20,"N","N","2","TM","22/10/07","0","1","","","26/2/08","WC","S","","","Not seen here before.  Photo stored on CD.","","","","","",NA,534,"","",0
"8823",10529,8,41,23,42,146,48,23,-41.395,146.8063889,"350","LLG","2","TAS","","Black Sugarloaf: northern boundary","","trunk of tree","Eucalyptus","ovata","",8,9,2002,"","",8,"","","1","","","","","","","15/10/02","GE","S","","","Colony.","","","","","",2,640,"","",NA
"35918",56580,517,37,39,34,144,52,56,-37.65944444,144.8822222,"146","LLG","2","VIC","","Woodlands Historic Park, Greenvale","Dry eucalypt woodland with a sparse shrub layer, burnt area","Rotting fallen branch","","","",16,6,2013,"","",126,"N","N","1","","","0","","","","18/10/13","GP","S","","","","","","","","",NA,178,"","",0
"43470",120560,2138,37,32,0,145,28,0,-37.53333333,145.4666667,"","DES","2","VIC","","Toolangi","","","","","hazel probably",17,10,1968,"","",1,"","","1","","","","","","","1/5/15","GP","S","","","CSIRO Division of Forest Products Fungi Herbarium accession number #12285 (specimen not present or not retained when moved to MEL in 2000). Data from accession book held at RBG Melbourne.","Walters, N.E.M.","Walters, N.E.M.","","","",NA,1586,"","",0
"53533",1213300,676,35,13,0,138,42,0,-35.21666667,138.7,"","LLU","2","SA","","Kuitpo Forest from gate 95, off Harvey Road","","","","","",18,6,2016,"","",43,"","","1","","","","","","","29/7/16","GP","S","","","Sent by Pam Catcheside","","","","","",NA,698,"","",0
"16317",34732,153,37,16,0,144,11,0,-37.26666667,144.1833333,"","DES","3","VIC","","Wombat Forest. Porcupine Ridge, Scotts Lane","Eucalypt forest, logged many years ago, with many fallen logs.","Rotting log","","","",13,8,2005,"","",43,"N","N","4","TM","26/8/05","","5","","93","6/1/06","GP","S","","","","","","","","",NA,30,"","",0
"22544",39922,60,36,9,0,150,6,30,-36.15,150.1083333,"0-10","DES","3","NSW","","Bodalla State Forest.  Mummaga Lake Walk, upper and lower sections.","Near base of living spotted gums.","","","","",19,11,2007,"","",6,"N","N","1","","","0","0","","","22/4/08","WC","S","","","","","","","","",NA,1135,"","",0
"19308",35674,8,34,57,40,116,49,39,-34.96111111,116.8275,"","LLG","1","WA","","Western South Coast, Denmark Shire. Giants Forest Block. Bibbulmun Track between Sappers Bridge and Boxhall Road","Karri - Jarrah - Tingle forest","Dead twigs and small branches","","","",18,6,2000,"","",1,"N","N","1","","","","","","","17/7/06","GP","S","","","","","","","","",NA,369,"","",0
"50081",1208574,115,35,36,0,138,14,28,-35.6,138.2411111,"","DES","2","SA","","Fleurieu Peninsula. Deep Creek Conservation Park. Stringybark Trail","","","","","",6,7,2013,"","6/vii",49,"","n","No","","","","","","","30/12/15","GP","S","","","","","","","","",NA,49,"","",0
"56196",1216478,1519,38,33,16,143,56,40,-38.55444444,143.9444444,"","LLG","2","VIC","","Lorne area, Sheoak Picnic Area Nature Walk","Wet eucalypt forest, with Mountain Ash and Rainforest of Myrtle Beech, Tree-ferns","wood","","","",20,5,2017,"","",179,"Y","","","","","","7","LS10 Leuco comp  RRichter","","16/6/17","GP","S","","","","","","","","",NA,178,"","",0
"27465",44903,74,17,4,46,145,34,8,-17.07944444,145.5688889,"","LLG","2","QLD","","Mt Edith Road, up Mt Edith after Cairns view","Woodland - Allocasurina and Eucalypts (Stringy barks)","Wood - stump burnt","","","",23,2,2009,"","",1,"","","2","","","","","","","17/5/10","GL","S","","","","","","","","",NA,1409,"","",0
"59912",1220426,25,36,23,40,146,14,50,-36.39444444,146.2472222,"","DES","3","VIC","","Wangaratta South, at the foot of the Warby Ranges.","Garden","","","","",0,6,2014,"","",1,"","","3","GP","20/6/18","","7","Basket fungus","Unidentifiable","11/10/18","WC","S","","","","","","","","",NA,2075,"","",0
"5744",6697,74,37,49,29,145,8,40,-37.82472222,145.1444444,"","MEL","","VIC","","Blackburn: Acacia Street","suburban garden","base of dead tree","Eucalyptus","","Stringybark",24,9,1998,"","ROB0025",6,"N","","","","","","","","","20/11/98","","S","","","Large cluster, typical appearance, luminous after dark. Some single specimens on nearby log.","","","","","",3,25,"","",NA
"55083",1215029,318,37,19,18,144,14,59,-37.32166667,144.2497222,"578","LLG","1","VIC","","Glenlyon, Sharpes Lane, private property","Swamp Gum open forest","soil/litter","","","",18,5,2012,"","",61,"Y","","2","TM","9/12/16","","7","Mycena cystidiosa 1b,1c","","12/12/16","GP","S","","","","","","","","",NA,1023,"","",0
"12719",18239,351,34,59,12,117,20,53,-34.98666667,117.3480556,"","LLG","2","WA","","cnr Campbell Rd & Inlet Drive.  Walking trail along Wilson Inlet 1/2 way to Little River","E. diversicolor, Corymbia calophylla, Melaleuca raphiophylla","","","","",24,6,2001,"","",1,"","","1","","","","","","","21/1/04","CFR","S","","","Denmark conf site 5","","","","","",4,875,"","",NA
"10597",14713,54,37,29,11,145,49,50,-37.48638889,145.8305556,"760","LLM","2","VIC","","Whitehouse Creek: The Beeches, Four Bridges Track","Rainforest: Nothofagus cunninghamii and Atherosperma moschatum","","","","",29,3,1996,"","",6,"","","1","","","","","","","30/4/03","GE","S","","","+/-250 m","","","","","",3,9,"","",NA
"36882",55902,749,34,40,6,145,55,18,-34.66833333,145.9216667,"125","LLM","1","NSW","","Darlington Point 24km N, Ugobit State Forest","Box woodland","Soil","","","",11,9,2000,"","",2,"","","1","","","","","","","26/7/13","GP","S","","","","","","","","",NA,417,"","",NA
"43904",120819,879,33,36,0,150,37,0,-33.6,150.6166667,"","DES","2","NSW","","Grose, Katoomba","","thin branch","","","",16,5,1953,"","",1,"","","1","","","","","","","1/5/15","GP","S","","","CSIRO Division of Forest Products Fungi Herbarium accession number #3361 (specimen not present or not retained when moved to MEL in 2000). Data from accession book held at RBG Melbourne.","Schafer, H.N.S,","Walters, N.E.M.","","","",NA,1586,"","",0
"11643",16253,55,35,36,5,138,14,28,-35.60138889,138.2411111,"290","LLG","1","SA","","Deep Creek CP, near Delamere","Eucalyptus obliqua remnant woodland","On soil under Exocarpos cupressiformis","","","",25,7,2003,"","",24,"","","1","","","","","","","7/11/03","CFR","S","","","","","","","","",NA,49,"","",NA
"18706",35031,7,30,20,12,153,4,0,-30.33666667,153.0666667,"5","LLU","2","NSW","","Boambee, Bligh Drive, on flat.","Replanted area near creek.","At base of dead Acacia melanoxylon.","Acacia","melanoxylon","Blackwood",1,2,2005,"","",18,"N","N","1","","","0","0","","","14/2/06","WC","S","","","","","","","","",NA,440,"","",0
"28114",45766,6,32,3,26,116,1,35,-32.05722222,116.0263889,"60","LLG","1","WA","","Ellis Brook Reserve, Gosnells","Remnant eucalypt woodland","On soil under Croymbia calophylla","","","",15,5,2008,"","",9,"","","1","","","","","","","9/6/10","GE","S","","","39661","","","","","",NA,217,"","",0
"18035",35452,4,37,49,58,144,58,30,-37.83277778,144.975,"","DES","2","VIC","","South Yarra, corner of Birdwood Avenue and Dallas Brookes Drive.","Under Cedrus deodar.","","Cedrus","deodar","",20,5,2006,"","",14,"N","N","1","","","0","0","","","30/5/06","WC","S","","","","","","","","",NA,9,"","",0
"19164",36323,38,37,46,0,145,45,0,-37.76666667,145.75,"","","2","VIC","","Warburton; Big Pat's Creek Rec Reserve","Forest Mountain Ash, Mountain Grey Gum, Stringybark","soil, leaf litter","","","",1,6,2003,"","",30,"","","2","TM","3/12/04","","4","038pg05","","23/11/06","gl","S","","","image number EDSCN1790  Photo stored on CD38.","","","","","",NA,707,"","",0
"14782",28796,351,32,44,46,138,4,28,-32.74611111,138.0744444,"450","LLG","1","SA","","Alligator Gorge, Mt Remarkable NP, near Wilmington","Steep gorge with Eucalyptus camaldulensis & Callitris glaucophylla","in moss","","","",17,6,2000,"","",35,"","","1","","","","","","","4/11/04","GP","S","","","","","","","","",6,49,"","",NA
"44479",1208366,441,37,58,3,140,53,50,-37.9675,140.8972222,"45","LLG","2","SA","","Penambol Conservation Park, about 20 km south-east of Mt Gambier","","","","","",4,5,2010,"","4/v",49,"","n","No","","","","","","","30/12/15","GP","S","","","","","","","","",NA,49,"","",0
"12843",24359,340,36,34,19,147,46,55,-36.57194444,147.7819444,"","","","VIC","","Alpine National Park, Benambra-Corryong Road, 2.7 km N of Wild Boar Track, Claridge Site 99.","Exposed slope. Tree species on plot: Eucalyptus dalrympleana, Eucalyptus dives, Eucalyptus pauciflora.","","","","",25,5,1996,"","",1,"","","1","","","","","","","21/4/04","CFR","","H","","","Colgan III, W.","","MEL 2135814","","",5,903,"","",NA
"41108",64266,59,37,52,9,145,2,48,-37.86916667,145.0466667,"","MEL","2","VIC","","Malvern, Central Park.","Lawn","Soil","","","",10,5,2014,"","",24,"N","N","1","","","0","","","","28/10/14","WC","S","","","","","","","","",NA,760,"","",0
"31662",50701,61,28,13,35,153,7,41,-28.22638889,153.1280556,"915","LLG","1","QLD","","McPherson Range","Rainforest","On dead, fallen wood","","","",7,6,2007,"","",8,"","","1","","","","","","","24/11/11","GP","S","","","","","","","","",NA,217,"","",0
"42178",64420,139,28,51,0,152,3,30,-28.85,152.0583333,"1025","LLU","2","QLD","","Bald Rock National Park","","","","","",20,3,2013,"","",3,"","","1","","","","","","","28/10/14","WC","S","","","Collected by Pat Leonard","","","","","",NA,1287,"","",NA
"17919",33924,50,41,16,34,146,46,2,-41.27611111,146.7672222,"250","LLG","2","TAS","","Holwell Gorge","rainforest remnant. Nothofagus cunninghamii and Atherosperma","soil","","","",9,5,2004,"","",15,"","","1","","","","","","","22/12/05","gl","S","","","","","","","","",NA,640,"","",0
"38191",61890,228,35,56,42,136,44,10,-35.945,136.7361111,"70","LLG","1","SA","","Flinders Chase Visitor Centre to Platypus Walk, Flinders Chase National Park,KI","Open sandy heath, Banksia marginata, B. ornata, Hakea spp., Leptospermum spp., ","in soil","","","",28,6,2011,"","",48,"","N","","","","","","","","11/2/14","WC","","","","","","","","","",NA,49,"","",NA
"42707",120182,139,35,47,0,150,8,30,-35.78333333,150.1416667,"","LLG","3","NSW","","Mogo","","","","","",15,4,2014,"","",62,"Y","","3","TM","6/3/15","","7","139tjv03","Unidentifiable","27/3/15","GP","S","","","","","","","","",NA,534,"","",0
"10511",14614,99,43,14,9,146,54,20,-43.23583333,146.9055556,"465","LLG","1","TAS","","Geeveston area: Hermons Road E side, 1.1 km N Johns Road","Eucalyptus obliqua, E. delegatensis mixed forest, over thamnic rainforest understorey (Nothofagus cunninghamii, Atherosperma moschatum, Anodopetalum biglandulosum, Phyllocladus aspleniifolius)","","","","",11,5,1996,"","",5,"","","1","","","","","","","30/4/03","GE","S","","","Macrofungal Community Ecology Plot M1, most surveys carried out by Jill Weller","","","","","",3,9,"","",NA
"7192",8081,74,35,4,0,138,51,0,-35.06666667,138.85,"","LLH","","SA","","Mount Barker","","","","","",0,6,1926,"","",20,"N","N","1","","","","","","","26/2/02","GA","","H","","","J.B. Cleland","","AD 12324","","",NA,49,"","",NA
"59584",1220098,417,37,40,10,145,53,20,-37.66944444,145.8888889,"","DES","3","Vic","","Upper Yarra Reservoir area","Mixture of rainforest and dense woodland.","Dead wood","","","",13,5,2017,"","",2,"","","1","","","","","","","3/9/18","WC","S","","","Excursion of Ringwood Field Naturalists Club led by Jack Airey and Bruce Fuhrer.","","","","","",NA,398,"","",0
"16524",31800,38,38,25,21,144,57,15,-38.4225,144.9541667,"","MEL","2","VIC","","Mornington Peninsula NP, Baldry Crossing, Loop Walk","Remnant native coastal bush,","soil","","","",6,6,2004,"","",15,"","","1","","","","","","","20/4/05","GL","S","","","FNCV Foray","","","","","",NA,48,"","",0
"53937",1213820,459,37,21,26,145,45,9,-37.35722222,145.7525,"318","LLG","2","VIC","","Cathedral Range, Neds Gully. Carpark, River track to the bottom of ‘Hygocybe Hill’","Riparian Forest with Manna Gum Tall Open Forest","wood","","","",7,8,2016,"","",176,"","","","","","","","","","19/8/16","GP","S","","","","","","","","",NA,178,"","",0
"37413",56497,1065,38,25,20,144,57,33,-38.42222222,144.9591667,"","LLG","2","VIC","","Mornington Peninsula NP, Greens Bush, Baldry Crossing, Creek walk","Heathy eucalypt forest","Fallen branch","","","",2,6,2013,"","",125,"N","N","1","","","","","","","11/10/13","","S","","","","","","","","",NA,178,"","",0
"2265",2158,46,37,39,5,146,2,23,-37.65138889,146.0397222,"1010","AMG","2","VIC","","NE Vic, Big River State Forest: junction of Snowy Rd and Warburton Woods Point Road","","base of large living Eucalypt","Eucalyptus","","",12,3,2000,"","SIN0211",30,"N","N","1","","","","","","","17/3/00","BA","S","","","in cluster","","","","","",1,211,"","",NA
"30048",48951,69,37,42,17,145,34,54,-37.70472222,145.5816667,"","LLU","3","VIC","","South-east of Healesville, Don Road.","","Ground litter.","","","",9,5,2010,"","",3,"N","N","2","TM","15/9/10","","4","","","22/2/11","WC","S","","","Photos are on CD 58.","","","","","",NA,1377,"","",0
"34555",53495,277,35,13,18,138,42,32,-35.22166667,138.7088889,"157m","LLG","1","SA","","9km SW Meadows, Harvey Road, Kuitpo Forest","native forest","in soil, vergeside","","","",29,5,2012,"","",37,"","","2","","","","","","","5/10/12","GL","S","","","","","","","","",NA,698,"","",NA
"45250",1208037,753,37,21,0,140,42,0,-37.35,140.7,"","LLG","2","SA","","Penola Conservation Park","","","","","",21,7,2009,"","21/vii",49,"","n","No","","","","","","","16/12/15","GP","S","","","","","","","","",NA,49,"","",0
"5268",5473,66,38,37,12,143,43,33,-38.62,143.7258333,"470","LLU","","VIC","","Otway Ranges: Forrest-Apollo Bay Road, about 3.2km from Turtons Track turnoff","Deep Acacia melanoxylon gully beside road: Pomaderris aspera, Hedycarya augustifolia, Coprosma quadrifida, Dicksonia antarctica.","Rotted wood","","","",23,4,1998,"","FOR0172",6,"N","","1","","","","","","","8/5/98","PG","S","","","","","","","","",2,172,"","",NA
"39884",62154,1,37,49,53,144,54,30,-37.83138889,144.9083333,"","GOO","2","VIC","","Westgate Park, Todd Road, Melbourne","","","","","",1,1,2011,"","",2,"N","N","1","","","","","","","20/2/14","","S","","","","","","","","",NA,1566,"","",0
"18385",35141,96,37,11,1,142,30,34,-37.18361111,142.5094444,"","LLG","1","VIC","","Grampians NP, Delleys Dell Track, Dairy Track","Wet gully","On dead log","Eucalyptus","","",2,6,2001,"","",15,"N","N","1","","","","","","","29/3/06","GP","S","","","","","","","","",NA,187,"","",0
"16870",33779,94,34,59,15,116,43,30,-34.9875,116.725,"","LLG","1","WA","","second track from The Knoll, Coalmine Beach. Walpole-Nornalup NP south of SC Hwy","Medium forest of Corymbia calophylla, E. diversicolor, Banksia grandis, some low wet areas","","","","",25,6,2001,"","",2,"","","1","","","","","","","22/12/05","gl","S","","","Denmark conf site 2","","","","","",NA,875,"","",0
"31219",50925,558,34,52,7,138,54,18,-34.86861111,138.905,"491","LLG","1","SA","","Porters Scrub","","","","","",30,7,2011,"","",35,"","","1","","","","","","","14/12/11","GP","S","","","","","","","","",NA,698,"","",0
"20984",37594,172,38,25,20,144,57,33,-38.42222222,144.9591667,"","LLG","2","VIC","","Mornington Peninsula National Park.  Greens Bush, Baldry Crossing.  Loop walk and/or roadside.","","Ground","","","",4,6,2006,"","",23,"N","N","1","","","","","","","20/2/07","WC","S","","","","","","","","",NA,178,"","",0
"55736",1216821,345,37,28,45,144,17,24,-37.47916667,144.29,"","LLG","2","VIC","","Blackwood, Jack Cann Reserve; car park & Lerderderg River walk","","ground","","","",18,6,2017,"","",180,"","","","","","","","","","18/7/17","GP","S","","","","","","","","",NA,178,"","",0
"11423",16081,81,30,51,23,121,8,55,-30.85638889,121.1486111,"400","LLU","2","WA","","Goldfields. Bonnie Vale Siding","Eucalyptus campaspe woodland","sand","","","",16,10,2002,"","",2,"N","N","1","","","0","0","","","16/10/03","GL","S","","","","","","","","",NA,217,"","",NA
"53655",1213470,170,37,43,59,145,14,24,-37.73305556,145.24,"","LLG","2","VIC","","Warrandyte State Park, Jumping Creek Reserve. Car park to vehicle track, then around the nature trail","Kunzea with sparse eucalypts, mainly Red Box Eucalyptus polyanthemos","wood","","","",17,7,2016,"","",173,"","","","","","","","","","10/8/16","GP","S","","","","","","","","",NA,178,"","",0
"31828",51789,86,33,30,0,150,23,0,-33.5,150.3833333,"","LLU","3","NSW","","Blue Mountains, Mount Wilson, Waterfall Reserve.","","","","","",21,3,2009,"","",29,"","","2","","","","","","","11/4/12","WC","S","","","","","","","","",NA,297,"","",0
"57096",1217173,882,34,30,38,116,6,12,-34.51066667,116.1033333,"","GOO","1","WA","","River Road bridge 9.5km SSE of Pemberton, 200m upstream on left bank","Eucalyptus diversicolor over Agonis flexuosa","leaf litter","","","",10,6,2017,"","",30,"","","","","","","","","","4/8/17","GP","S","","","Katrina Syme and Lee Fontanini","","","","","",NA,78,"","",0
"50961",1210920,65,NA,NA,NA,NA,NA,NA,-38.6586,143.8155,"","GOO","2","VIC","","north of Grey River picnic area, Otways","cool temperate rainforest gully","fallen, rotten branch","","","",6,4,2015,"","",14,"Y","","2","TM","5/2/16","","7","8898","","4/3/16","GP","S","","","","","","","","",NA,1346,"","",0
"53381",1213113,517,37,49,31,145,24,31,-37.82527778,145.4086111,"","LLG","2","VIC","","Dandenong Ranges NP. Olinda Creek Track","","wood, log","","","",3,7,2016,"","",170,"","","","","","","","","","22/7/16","GP","S","","","","","","","","",NA,178,"","",0
"34486",53426,57,36,11,0,150,4,5,-36.18333333,150.0680556,"50","LLG","1","NSW","","Cowdroy Creek Rainforest","Remnant rainforest","leaf","","","",5,3,2012,"","",51,"","","2","","","","","","","27/9/12","GL","S","","","","","","","","",NA,534,"","",NA
"45307",1208177,305,35,12,16,149,10,27,-35.20444444,149.1741667,"610","LLG","2","ACT","","Goorooyarroo Nature Reserve.","Open forest and grassland on urban fringe, with a history of grazing.  Good quality vegetation dominated by red box and yellow box.","Soil, grass","","","",26,4,2015,"","",1,"N","N","3","TM","9/9/15","","7","IMG_9019","","22/12/15","WC","S","","","Gazetted nature reserve open to only foot traffic.  Survey with Canberra Fungi Forays.  Submitted as Macrolepiota.","","","","","",NA,1729,"","",0
"37336",56420,23,37,29,7,145,49,42,-37.48527778,145.8283333,"","LLG","3","VIC","","Yarra Ranges National Park, near Marysville, Lady Talbot Drive, The Beeches, Myrtle Loop walk, in Whitehouse Creek.","Myrtle beech (Nothofagus cunninghamii) forest with mountain ash (Eucalyptus regnans) and an understorey of silver wattles (Acacia dealbata), smooth tree ferns (Dicksonia antarctica) and ground cover ferns.  In running water.","Wood, fallen log.","","","",28,4,2013,"","",121,"N","N","1","","","","","","","8/10/13","WC","S","","","It is four years after the 2009 bush fire.  The ground cover is spreading over the ground.  In the same area as it was found last year.","","","","","",NA,178,"","",0
"36470",55479,419,36,16,15,146,50,23,-36.27083333,146.8397222,"550","DES","2","VIC","","Baranduda Regional Park, S of Wodonga. 2.5km along Ewarts Rd from Wodonga-Beechworth Rd.","Eucalypt woodland","soil","","","",25,7,2009,"","",2,"Y","","2","TM","1/3/13","","4","","","15/5/13","GP","S","","","Photos on CD 60","","","","","",NA,1444,"","",NA
"1322",695,8,34,36,0,150,36,0,-34.6,150.6,"730","LLU","3","NSW","","Robertson: Yarrawa Brush Reserve","rainforest","","","","",8,4,2000,"","SFS0297",6,"N","","1","","","","","","","3/10/00","BA","S","","","","","","","","",2,297,"","",NA
"44224",1209195,272,35,36,0,138,14,28,-35.6,138.2411111,"","DES","2","SA","","13km east of Cape Jervis, Deep Creek Conservation Park, Stringybark Loop","","","","","",4,8,2012,"","",40,"","","1","","","","","","","8/1/16","GP","S","","","","","","","","",NA,698,"","",0
"38672",60572,1211,41,29,2,145,29,43,-41.48388889,145.4952778,"650","","","TAS","","Near Waratah - Corinna Road, 7km south-west of Waratah.","Old growth Leptospermum lanigerum forest, with scattered Tasmannia lanceolata, Nothofagus cunninghamii, Eucalyptus delegatensis, Anodopetalum biglandulosum","","","","",22,4,2006,"","FM-TARK2006-253",4,"","","","","","","","","","13/1/14","","","","","","Lebel, T.","Lebel, T","","","",NA,1570,"","",NA
"51592",1211312,1191,41,40,59,146,46,55,-41.68305556,146.7819444,"","DES","2","TAS","","Liffey River Reserve (Bush Heritage property) about 20 km south-east of Deloraine","","","","","",1,6,2014,"","",1,"","","1","","","","","","","15/4/16","GP","S","","","","","","","","",NA,1819,"","",0
